1,281,Zigzag Iterator,Medium,"Array,Design,Queue,Iterator"
2,588,Design In-Memory File System,Hard,"Hash Table,String,Design,Trie,Sorting"
3,981,Time Based Key-Value Store,Medium,"Hash Table,String,Binary Search,Design"
4,2043,Simple Bank System,Medium,"Array,Hash Table,Design,Simulation"
5,2325,Decode the Message,Easy,"Hash Table,String"
6,1166,Design File System,Medium,"Hash Table,String,Design,Trie"
7,1801,Number of Orders in the Backlog,Medium,"Array,Heap (Priority Queue),Simulation"
8,2369,Check if There is a Valid Partition For The Array,Medium,"Array,Dynamic Programming"
9,68,Text Justification,Hard,"Array,String,Simulation"
